player_name,age,club,matches_used,shot_stopping_score,handling_score,distribution_score,sweeping_score,reliability_score,consistency_score,current_score,current_rank,success_probability,potential_score,potential_rank,confidence_score,similar_gk_1,similarity_score_1,similar_gk_1_young_age,similar_gk_1_shot_stopping,similar_gk_1_handling,similar_gk_1_distribution,similar_gk_1_sweeping,similar_gk_1_reliability,similar_gk_2,similarity_score_2,similar_gk_3,similarity_score_3
Finn Kotyrba,22.0,VfL Bochum II,1,59.84554096414997,81.2883289110909,37.479267771733525,61.64239621958642,45.70724005630568,,57.63890587044298,1,0.0017489451,0.17489451,98.0,45.71783311280326,Maximilian Weisbäcker,0.9841558073251647,24.0,46.842607074229676,67.39076021898605,50.77472752504936,46.82245372648347,47.71193366016076,Jean Butez,0.9774520965483053,Brent Gabriël,0.9768420740735226
Marko Gudžulić,23.0,CF Estrela Amadora SAD,1,60.66310717208975,58.76049393517413,47.72898298182995,39.24294251599046,56.567655883880334,,54.848203814311354,8,0.7407942,74.07942,43.0,46.148417499516555,Andrea Hoxha,0.9940911251568095,26.0,54.632190511818685,46.781928732438104,51.94897888011032,42.69658991973789,54.98302139277174,Hervé Koffi,0.994018197093644,Antonín Kinský,0.9933990943678687
Taishi Brandon Nozawa,23.0,Royal Antwerpen FC,11,54.87796311947553,59.88683091945504,44.12193785273165,48.96981570709083,63.971095367422066,40.53049003022094,54.776770943347955,9,0.89880073,89.88007,32.0,56.704926994766815,Antonín Kinský,0.9964058712822209,22.0,51.88404653057087,53.3514087554018,47.5857205047183,49.69453672187339,56.317255831060976,Marius Müller,0.9961413738167753,Hervé Koffi,0.9953640868043908
Paul Argney,19.0,Le Havre AC,1,58.16711404940749,52.603422630640814,81.65802163106142,39.16386651497332,39.85832310579761,,54.607573258266484,10,0.9751291,97.51291,19.0,45.561378234930984,Andrija Katic,0.9795119334391637,24.0,45.246200331557006,51.7338110413664,57.3644801484022,49.487108187905434,42.67767530386597,Luca Petzold,0.972173883972345,Nacho Miras,0.9711186727482568
Andrea Hoxha,26.0,FC 08 Villingen,9,51.80908150666634,54.415865399553894,59.62244923407081,55.12750427574193,54.93099415782161,45.876281355252615,54.16202824392244,12,0.23103006,23.103006,60.0,55.727492170650734,Luca Petzold,0.9991623936417876,24.0,43.887705690305424,46.27231382359704,54.86206870171563,49.981837850534795,47.909437757899326,Taishi Brandon Nozawa,0.9987468117783327,Kamil Grabara,0.9985515709873745
Valdemar Birksø,24.0,FC Fredericia,3,58.86266839534679,55.56615213292806,37.515335739058976,43.53581294471499,65.35131819195227,46.33781366983814,54.140066922402355,14,0.070820674,7.0820675,65.0,47.69251052715788,Fabian de Keijzer,0.9961308094535273,25.0,50.10603685143083,47.51608865431524,40.740750040068384,45.85694801697373,62.03973063982812,Antonín Kinský,0.9915939047047705,Marius Müller,0.9913919284623458
Patrik Gunnarsson,25.0,KV Kortrijk,7,46.66517225695116,58.92145236886565,53.93507398050961,67.00343383527105,54.3080360400286,44.47970988751976,53.660039333843734,15,0.98030055,98.03005,16.0,52.58168308811607,Jean Butez,0.9977866628853403,30.0,50.77469879346565,55.81718097111096,50.82773405728266,58.35957802315499,51.093261271682856,Jari De Busser,0.9969216942628523,Hidde Jurjus,0.9957353217044883
Gonzalo Crettaz,26.0,NEC Nijmegen,25,49.918556536108404,49.659939251629396,44.03340456820525,61.59348965028487,64.61652778586416,45.0668327522523,52.84856165620312,19,0.5047296,50.47296,53.0,76.78027591710881,Filip Stanković,0.9980459693191218,24.0,50.92804282893711,46.188046326031525,46.09742533610196,53.52408755729257,60.89470403800201,Marius Müller,0.9974758534349665,Matous Trmal,0.9971674530558908
Rihards Matrevics,26.0,FK Dukla Prag,16,52.46904360456334,48.97807920855198,44.433817923620545,46.914779012375504,66.7994042747635,45.84255703463489,52.54488821954447,24,0.87021786,87.02179,38.0,65.02451545993998,Fabian de Keijzer,0.9995040638312832,25.0,50.10603685143083,47.51608865431524,40.740750040068384,45.85694801697373,62.03973063982812,Marius Müller,0.9971860327441933,Filip Stanković,0.9971514050461405
Tom Ritzy Hülsmann,21.0,TSV Hartberg,19,53.60841994566204,55.19333268784277,47.493442941323956,42.163310685005555,58.054336944500314,45.48051523554128,52.34643318164344,26,0.97402996,97.40299,21.0,68.8953321907827,Antonín Kinský,0.9978317134639089,22.0,51.88404653057087,53.3514087554018,47.5857205047183,49.69453672187339,56.317255831060976,Hervé Koffi,0.997095144546884,Andrea Hoxha,0.9968575706679053
Samuel Brolin,25.0,Kalmar FF,11,50.05092320129483,54.37421504638399,53.27448444731059,49.31758789979236,51.515653236322514,44.39877568677727,51.33612085834444,43,0.025221303,2.5221303,70.0,57.96280376070516,Taishi Brandon Nozawa,0.9993476215031799,23.0,48.16414606588572,48.96902843973658,48.98613572643285,48.471602523229684,48.16491925958806,Brent Gabriël,0.9992014918524335,Kamil Grabara,0.9991013254449171
Max Schmitt,20.0,SSV Ulm 1846,9,47.37708957665928,62.21870951462874,47.37892381373403,50.25672868710187,45.61529873189847,42.45647363160832,50.03526364465394,81,0.7997453,79.97453,42.0,54.65126212924413,Maximilian Weisbäcker,0.9985475092813493,24.0,46.842607074229676,67.39076021898605,50.77472752504936,46.82245372648347,47.71193366016076,Brent Gabriël,0.9970422504083102,Jean Butez,0.9958422442865037
Finn Kotyrba,22.0,VfL Bochum II,1,59.84554096414997,81.2883289110909,37.479267771733525,61.64239621958642,45.70724005630568,,57.63890587044298,1,0.0017489451,0.17489451,98.0,45.71783311280326,Maximilian Weisbäcker,0.9841558073251647,24.0,46.842607074229676,67.39076021898605,50.77472752504936,46.82245372648347,47.71193366016076,Jean Butez,0.9774520965483053,Brent Gabriël,0.9768420740735226
Marko Gudžulić,23.0,CF Estrela Amadora SAD,1,60.66310717208975,58.76049393517413,47.72898298182995,39.24294251599046,56.567655883880334,,54.848203814311354,8,0.7407942,74.07942,43.0,46.148417499516555,Andrea Hoxha,0.9940911251568095,26.0,54.632190511818685,46.781928732438104,51.94897888011032,42.69658991973789,54.98302139277174,Hervé Koffi,0.994018197093644,Antonín Kinský,0.9933990943678687
