player_name,age,club,matches_used,shot_stopping_score,handling_score,distribution_score,sweeping_score,reliability_score,consistency_score,current_score,current_rank,success_probability,potential_score,potential_rank,confidence_score,similar_gk_1,similarity_score_1,similar_gk_1_young_age,similar_gk_1_shot_stopping,similar_gk_1_handling,similar_gk_1_distribution,similar_gk_1_sweeping,similar_gk_1_reliability,similar_gk_2,similarity_score_2,similar_gk_3,similarity_score_3
Finn Kotyrba,22.0,VfL Bochum II,1,59.84554096414997,81.2883289110909,37.479267771733525,61.64239621958642,45.70724005630568,,57.63890587044298,1,0.0017489451,0.17489451,98.0,45.71783311280326,Maximilian Weisbäcker,0.9841558073251647,24.0,46.842607074229676,67.39076021898605,50.77472752504936,46.82245372648347,47.71193366016076,Jean Butez,0.9774520965483053,Brent Gabriël,0.9768420740735226
Kevin Müller,34.0,FC Schalke 04,2,52.83491555025223,77.68922440650101,38.495932067612586,51.92490290179148,64.22130190909994,44.305572479081775,57.41473865247098,2,,,,15.9583384103912,,,,,,,,,,,,
Rody de Boer,28.0,Aalborg BK,1,66.0258723874669,45.73530075956813,42.52914924342724,52.5555229529993,68.14146036271084,,56.71803862250988,3,,,,16.333333333333332,,,,,,,,,,,,
Joël Drommel,29.0,PSV Eindhoven II,7,60.035078956027064,57.971214922440836,50.09390678510165,64.02970075570755,54.19266270846486,44.52764196470824,56.58673740456067,4,,,,22.691625922745807,,,,,,,,,,,,
Alexander Brunst,30.0,SV Darmstadt 98,3,51.90412497752375,56.0516398029119,49.3399304763606,71.97190185345556,62.70104874357192,42.825175080348,56.06121371337093,5,,,,16.8475525241044,,,,,,,,,,,,
Nick Olij,30.0,PSV Eindhoven II,1,61.24461357592321,57.307213966023944,59.64094764826499,38.55334906989246,54.290989256934914,,55.994501771597726,6,,,,16.333333333333332,,,,,,,,,,,,
Nedeljko Stojisic,28.0,OFK Belgrad,2,59.822024655456204,55.63568103269275,39.31847646424494,36.29703361879382,71.95801734013793,43.705708861035745,55.178107345770904,7,,,,15.77837932497739,,,,,,,,,,,,
Marko Gudžulić,23.0,CF Estrela Amadora SAD,1,60.66310717208975,58.76049393517413,47.72898298182995,39.24294251599046,56.567655883880334,,54.848203814311354,8,0.7407942,74.07942,43.0,46.148417499516555,Andrea Hoxha,0.9940911251568095,26.0,54.632190511818685,46.781928732438104,51.94897888011032,42.69658991973789,54.98302139277174,Hervé Koffi,0.994018197093644,Antonín Kinský,0.9933990943678687
Taishi Brandon Nozawa,23.0,Royal Antwerpen FC,11,54.87796311947553,59.88683091945504,44.12193785273165,48.96981570709083,63.971095367422066,40.53049003022094,54.776770943347955,9,0.89880073,89.88007,32.0,56.704926994766815,Antonín Kinský,0.9964058712822209,22.0,51.88404653057087,53.3514087554018,47.5857205047183,49.69453672187339,56.317255831060976,Marius Müller,0.9961413738167753,Hervé Koffi,0.9953640868043908
Paul Argney,19.0,Le Havre AC,1,58.16711404940749,52.603422630640814,81.65802163106142,39.16386651497332,39.85832310579761,,54.607573258266484,10,0.9751291,97.51291,19.0,45.561378234930984,Andrija Katic,0.9795119334391637,24.0,45.246200331557006,51.7338110413664,57.3644801484022,49.487108187905434,42.67767530386597,Luca Petzold,0.972173883972345,Nacho Miras,0.9711186727482568
