Current Player,Age,Current Score,Potential Score,Similar Historical GK,Similar GK Young Age,Player Shot Stop,Similar GK Shot Stop,Player Handling,Similar GK Handling,Player Distribution,Similar GK Distribution,Player Sweeping,Similar GK Sweeping,Player Reliability,Similar GK Reliability,Player Consistency,Similar GK Consistency,Similarity Score,Confidence Score
Finn Kotyrba,22.0,57.63890587044298,0.17489451,Maximilian Weisbäcker,24.0,59.84554096414997,46.842607074229676,81.2883289110909,67.39076021898605,37.479267771733525,50.77472752504936,61.64239621958642,46.82245372648347,45.70724005630568,47.71193366016076,,42.344985075272,0.9841558073251647,45.71783311280326
Kevin Müller,34.0,57.41473865247098,,,,52.83491555025223,,77.68922440650101,,38.495932067612586,,51.92490290179148,,64.22130190909994,,44.305572479081775,,,15.9583384103912
Rody de Boer,28.0,56.71803862250988,,,,66.0258723874669,,45.73530075956813,,42.52914924342724,,52.5555229529993,,68.14146036271084,,,,,16.333333333333332
Joël Drommel,29.0,56.58673740456067,,,,60.035078956027064,,57.971214922440836,,50.09390678510165,,64.02970075570755,,54.19266270846486,,44.52764196470824,,,22.691625922745807
Alexander Brunst,30.0,56.06121371337093,,,,51.90412497752375,,56.0516398029119,,49.3399304763606,,71.97190185345556,,62.70104874357192,,42.825175080348,,,16.8475525241044
Nick Olij,30.0,55.994501771597726,,,,61.24461357592321,,57.307213966023944,,59.64094764826499,,38.55334906989246,,54.290989256934914,,,,,16.333333333333332
Nedeljko Stojisic,28.0,55.178107345770904,,,,59.822024655456204,,55.63568103269275,,39.31847646424494,,36.29703361879382,,71.95801734013793,,43.705708861035745,,,15.77837932497739
Marko Gudžulić,23.0,54.848203814311354,74.07942,Andrea Hoxha,26.0,60.66310717208975,54.632190511818685,58.76049393517413,46.781928732438104,47.72898298182995,51.94897888011032,39.24294251599046,42.69658991973789,56.567655883880334,54.98302139277174,,45.09052388771825,0.9940911251568095,46.148417499516555
Taishi Brandon Nozawa,23.0,54.776770943347955,89.88007,Antonín Kinský,22.0,54.87796311947553,51.88404653057087,59.88683091945504,53.3514087554018,44.12193785273165,47.5857205047183,48.96981570709083,49.69453672187339,63.971095367422066,56.317255831060976,40.53049003022094,44.61048816238198,0.9964058712822209,56.704926994766815
Paul Argney,19.0,54.607573258266484,97.51291,Andrija Katic,24.0,58.16711404940749,45.246200331557006,52.603422630640814,51.7338110413664,81.65802163106142,57.3644801484022,39.16386651497332,49.487108187905434,39.85832310579761,42.67767530386597,,43.16268065050644,0.9795119334391637,45.561378234930984
Tim Coremans,34.0,54.20634705351188,,,,53.21548235492501,,55.385938184129365,,50.51103131524235,,56.88079260682886,,58.425305517897925,,44.294392973193574,,,26.6216512252914
Andrea Hoxha,26.0,54.16202824392244,23.103006,Luca Petzold,24.0,51.80908150666634,43.887705690305424,54.415865399553894,46.27231382359704,59.62244923407081,54.86206870171563,55.12750427574193,49.981837850534795,54.93099415782161,47.909437757899326,45.876281355252615,43.73707448075528,0.9991623936417876,55.727492170650734
Alexandre Oukidja,37.0,54.15715073650693,,,,56.26795698960638,,44.639276706822095,,62.838960952799354,,71.6066123982634,,46.312014577571745,,,,,16.333333333333332
Valdemar Birksø,24.0,54.140066922402355,7.0820675,Fabian de Keijzer,25.0,58.86266839534679,50.10603685143083,55.56615213292806,47.51608865431524,37.515335739058976,40.740750040068384,43.53581294471499,45.85694801697373,65.35131819195227,62.03973063982812,46.33781366983814,46.390634748710504,0.9961308094535273,47.69251052715788
Patrik Gunnarsson,25.0,53.660039333843734,98.03005,Jean Butez,30.0,46.66517225695116,50.77469879346565,58.92145236886565,55.81718097111096,53.93507398050961,50.82773405728266,67.00343383527105,58.35957802315499,54.3080360400286,51.093261271682856,44.47970988751976,43.592453318279176,0.9977866628853403,52.58168308811607
Daan Reiziger,24.0,53.561130634571875,1.5022014,Fabian de Keijzer,25.0,43.75922544486234,50.10603685143083,70.69909749327672,47.51608865431524,39.14017623796428,40.740750040068384,42.31723627234385,45.85694801697373,68.78559427422238,62.03973063982812,48.673491693686316,46.390634748710504,0.9836222817128322,48.07321375727801
Martin Vantruba,28.0,53.442314489485,,,,58.34983124086876,,67.75708714918508,,56.91609458356152,,37.01992037622143,,38.232707311154975,,,,,16.333333333333332
Norman Quindt,29.0,52.94565879951605,,,,53.42005449437143,,59.810952638264204,,52.840792377328,,42.163837806519815,,51.69366143403063,,49.524339989889455,,,17.523968663633504
Gonzalo Crettaz,26.0,52.84856165620312,50.47296,Filip Stanković,24.0,49.918556536108404,50.92804282893711,49.659939251629396,46.188046326031525,44.03340456820525,46.09742533610196,61.59348965028487,53.52408755729257,64.61652778586416,60.89470403800201,45.0668327522523,44.783897049085944,0.9980459693191218,76.78027591710881
Arnaud Bodart,28.0,52.70672515312453,,,,52.439922956426734,,72.93376349136354,,38.51619074254074,,52.55486074037214,,47.37438799774603,,37.60406565912538,,,13.94788636440428
Timo Horn,32.0,52.673119526863154,,,,51.10691517413882,,50.8639791754857,,42.58055012913832,,57.20994613540352,,64.32240520712703,,43.91381930375731,,,29.17414579112719
Arijanet Murić,27.0,52.563567769726276,,,,53.12606480774285,,58.19021573311842,,49.22122989318628,,43.63353325269722,,55.33817791673804,,43.47063576368927,,,46.374524062440116
Tom Hendriks,23.0,52.55367465382215,0.5099939,Matous Trmal,27.0,54.21444755000967,47.260051870133246,51.44307063364251,49.682929433036996,37.64887649166728,42.75705793864761,59.631625704908046,50.899266064812615,61.03623728817945,55.028738995062554,43.659695204279274,43.85371094262805,0.9961674456271128,46.97300034161813
Rihards Matrevics,26.0,52.54488821954447,87.02179,Fabian de Keijzer,25.0,52.46904360456334,50.10603685143083,48.97807920855198,47.51608865431524,44.433817923620545,40.740750040068384,46.914779012375504,45.85694801697373,66.7994042747635,62.03973063982812,45.84255703463489,46.390634748710504,0.9995040638312832,65.02451545993998
Dominik Holec,31.0,52.5404965521142,,,,54.25717796856322,,48.129759837821574,,53.02574488892578,,53.394148294764605,,55.83017872537437,,43.561577721814324,,,51.73513998321097
Tom Ritzy Hülsmann,21.0,52.34643318164344,97.40299,Antonín Kinský,22.0,53.60841994566204,51.88404653057087,55.19333268784277,53.3514087554018,47.493442941323956,47.5857205047183,42.163310685005555,49.69453672187339,58.054336944500314,56.317255831060976,45.48051523554128,44.61048816238198,0.9978317134639089,68.8953321907827
Justin Ospelt,26.0,52.211288444337505,0.11692563,Nacho Miras,28.0,53.18151589992027,48.7938091651079,51.90555774992563,47.71209134733794,56.02445609675316,49.31243331379464,55.501352059804574,47.810417360875455,48.39021502111463,43.66765289912867,44.87750999319878,43.72231283715715,0.9993009200419105,52.76439529905457
Franz Stolz,25.0,52.19914705804505,4.4580913,Taishi Brandon Nozawa,23.0,51.198314456636474,48.16414606588572,56.68685666062665,48.96902843973658,56.61609317765746,48.98613572643285,46.93261455492308,48.471602523229684,50.56959951096342,48.16491925958806,44.05372109190335,44.35952270254134,0.9976798010706661,48.475307707061326
Ennio van der Gouw,26.0,52.13702957667499,50.24596,Matous Trmal,27.0,52.64928550018691,47.260051870133246,53.703064511682015,49.682929433036996,42.52739734523486,42.75705793864761,56.12372435695794,50.899266064812615,56.29152869605896,55.028738995062554,47.03686495179376,43.85371094262805,0.9992437706022813,48.06260291274558
Nick Marsman,35.0,52.045783736271034,,,,51.25522332942366,,54.004800005248114,,55.72083586479775,,56.51597319452311,,48.53547039394944,,43.02879916864906,,,43.57530641726139
Justin Heekeren,25.0,52.02218748827953,99.42275,Taishi Brandon Nozawa,23.0,49.62744160665435,48.16414606588572,54.85086182092456,48.96902843973658,54.32368918213132,48.98613572643285,51.0667898401093,48.471602523229684,53.09501459610106,48.16491925958806,45.790947230949364,44.35952270254134,0.9994147079613847,74.38294958838438
Jakub Markovic,24.0,51.988558946018905,0.2453155,Antonín Kinský,22.0,52.85764089260689,51.88404653057087,54.86285499805493,53.3514087554018,44.67927215507656,47.5857205047183,45.309570269912136,49.69453672187339,58.32801214593566,56.317255831060976,45.204907983720574,44.61048816238198,0.9988609302844949,56.83741603371047
Lionel Mpasi-Nzau,31.0,51.905023274834626,,,,49.34079629386028,,48.18596580172103,,48.852254248407206,,57.01852548217175,,61.90544678884628,,41.09622366169651,,,16.32886709850895
Luca Petzold,24.0,51.77293074143722,89.34335,Pavlo Isenko,22.0,51.82945462632038,49.833201910802565,52.53799042114605,49.90900482212886,50.40597941016682,47.524404914199245,49.17967119833681,48.59824951669898,54.928455544116545,51.62453686442999,45.038822582597675,43.914272751233504,0.9998385748289723,67.50121777864739
Hans Christian Bernat,25.0,51.733054540940934,92.73165,Matous Trmal,27.0,53.22620239812502,47.260051870133246,49.98743435008466,49.682929433036996,44.25189475656755,42.75705793864761,53.88068659879887,50.899266064812615,57.520322512645166,55.028738995062554,44.75579151184888,43.85371094262805,0.9993530112679249,66.06739707187003
Hidde Jurjus,32.0,51.662540176996345,,,,54.44346239967948,,50.95368495495739,,45.60764168433706,,58.59621564578223,,52.02347858299184,,40.66601864547755,,,21.533138926976598
Maximilian Weisbäcker,24.0,51.57165772338558,90.32699,Brent Gabriël,27.0,47.609847981599174,49.72605345178301,60.04289829236513,57.19437178251265,52.13752604257154,50.296485018336696,48.7852939815415,52.109707959126325,52.104979210866645,53.47851953621941,43.19939047439177,44.60148909775798,0.9990577971055511,52.24076519329152
Nacho Miras,28.0,51.53380418231126,,,,55.03519381194071,,48.298478442938865,,49.91202211144253,,44.53746646450625,,55.70479820592267,,45.64081491579459,,,37.692244474738374
Andrija Katic,24.0,51.486729712578715,97.801,Nacho Miras,28.0,51.126325618871945,48.7938091651079,59.28896606159573,47.71209134733794,54.64298290265995,49.31243331379464,49.41314906380915,47.810417360875455,45.02548781456462,43.66765289912867,42.96357819810309,43.72231283715715,0.9970085128224019,62.7894815475738
Thomas Didillon-Hödl,30.0,51.47458628164682,,,,55.399168067209324,,51.13005546934199,,55.57588288275524,,46.59338670997784,,47.000779672975476,,44.658954592189104,,,53.39768637765673
Patrick Drewes,33.0,51.41073498427109,,,,49.185270912799595,,45.22713896425027,,55.05565480897937,,54.00922738883108,,58.722824735180815,,44.11780020629941,,,37.23534006188982
Hervé Koffi,29.0,51.37123828499766,,,,54.220178096890976,,52.74346877900697,,49.51515930981702,,45.07222724392645,,52.1392867279983,,43.88274267328228,,,45.164822801984684
Samuel Brolin,25.0,51.33612085834444,2.5221303,Taishi Brandon Nozawa,23.0,50.05092320129483,48.16414606588572,54.37421504638399,48.96902843973658,53.27448444731059,48.98613572643285,49.31758789979236,48.471602523229684,51.515653236322514,48.16491925958806,44.39877568677727,44.35952270254134,0.9993476215031799,57.96280376070516
Malwin Zok,22.0,51.32361062547311,0.195278,Hervé Koffi,29.0,55.180771744701545,52.696353931360704,53.69287107090976,54.15274124872919,44.271383162117644,47.40748326499958,43.72311815551263,49.3595509736496,53.35762034853025,52.37970963047071,46.92523056611467,43.2914747081194,0.9979334125326516,49.34022339363508
Florian Wiegele,24.0,51.2343754118701,0.26858783,Marco Bizot,35.0,56.089959408116655,55.260289444014695,52.112758165481104,,54.8337146368008,,43.02034230835863,,46.20588053653234,45.52157336777201,44.33136845352843,40.12203085510723,0.9969742121683951,49.8658118544962
Maxim Deman,24.0,51.234278040490516,0.07243565,Andrija Katic,24.0,51.32928620287651,45.246200331557006,61.0977911082236,51.7338110413664,63.60158418410707,57.3644801484022,40.00447893012998,49.487108187905434,38.29118872623879,42.67767530386597,48.340213842120555,43.16268065050644,0.9915410692559329,46.826192007150695
Jovan Jovic,23.0,51.22976851463865,1.0699929,Brent Gabriël,27.0,48.089004449939246,49.72605345178301,53.73413045847999,57.19437178251265,50.19474628175282,50.296485018336696,51.96004646129743,52.109707959126325,55.12696430090744,53.47851953621941,46.112632787734334,44.60148909775798,0.9994060484787552,49.147367535612204
Gerónimo Rulli,33.0,51.17338640931443,,,,48.44379538609138,,56.37688564181393,,58.260678863030286,,58.77217800749727,,43.07938702827555,,42.65347258529708,,,52.796041775589124
Jari De Busser,26.0,51.16266547804269,98.91894,Hervé Koffi,29.0,53.29671316911227,52.696353931360704,53.875566680283626,54.15274124872919,43.93754182973297,47.40748326499958,49.82987938781718,49.3595509736496,53.17137076082873,52.37970963047071,43.81289651689744,43.2914747081194,0.9995519224395524,83.12002067969993
Matous Trmal,27.0,51.14905208822889,,,,51.76359483494119,,52.37443857133174,,47.5470244772003,,51.112432993727786,,53.23189378293361,,45.10820391881279,,,53.53246117564384
Jean Butez,30.0,51.11180673195123,,,,49.78586622206531,,52.567324695174655,,57.211272919842386,,63.55132845217203,,42.54849030648344,,44.32120163612906,,,53.296360490838715
Brent Gabriël,27.0,51.04015583842073,,,,50.01955929137553,,51.45678557534782,,55.63896045239138,,59.22963796107699,,45.982585439990245,,45.552119679480874,,,40.332302570510926
Simon Ngapandouetnbu,22.0,50.99475943427322,0.8620795,Nacho Miras,28.0,53.93365570556695,48.7938091651079,54.30871011652826,47.71209134733794,56.90992649949742,49.31243331379464,47.38305867146471,47.810417360875455,42.346329612907375,43.66765289912867,44.17719869289837,43.72231283715715,0.9976496730221214,69.8414879572531
Marco Bizot,35.0,50.9692487375434,,,,49.81813544185975,,49.0862878698833,,52.66512936732571,,53.89224589383192,,53.576397345360796,,44.04554134909216,,,53.21366240472765
Youri Schoonderwaldt,25.0,50.960654801246754,1.2769799,Jari De Busser,26.0,48.886038788833474,52.08468604486447,50.6864773186024,52.846583284940664,50.54619592761197,51.03032658145914,60.90651676441041,58.927199630940535,51.329940419680675,50.32700647550509,44.379571027145204,44.67479529162929,0.9994085510967554,81.9501260532892
Eric Oelschlägel,30.0,50.912476067363265,,,,58.10670908096679,,55.909987948805785,,43.573364849976045,,59.83459008273992,,39.013647926626916,,39.52544864432597,,,14.524301259964457
Nick Gillekens,30.0,50.855860392162086,,,,49.96854777891601,,48.79061989206762,,42.9119291767318,,49.26264133970728,,63.21659045108983,,42.01600958750582,,,40.604802876251746
Maxime Dupé,33.0,50.64303947236212,,,,54.29013581542353,,45.46733758569346,,46.97603382903108,,42.98986486508727,,58.32636826887085,,45.037319919176234,,,22.844529309086205
Jan Olschowsky,24.0,50.6390760158502,99.457634,Jari De Busser,26.0,50.79444590134109,52.08468604486447,52.0223570761222,52.846583284940664,46.327427895374576,51.03032658145914,56.018502337396605,58.927199630940535,51.13298432769778,50.32700647550509,44.37419093276056,44.67479529162929,0.9993910164519194,79.29023534934467
Manuel Riemann,37.0,50.61016085912797,,,,36.96872560113546,,57.62026371691867,,50.864308536231015,,75.27111868162824,,51.69366143403063,,,,,16.333333333333332
Diant Ramaj,24.0,50.595359412909005,99.56625,Marius Müller,32.0,46.63439808036352,50.618483343805,50.8895251312649,52.05214980260434,47.15766636899145,46.71950877803234,46.996515741606096,53.296794247971604,61.68274375782749,61.24892877012243,46.3456936294429,44.95887057322816,0.9985347047656309,71.84600534662894
Ivan Filipovic,31.0,50.58984769957772,,,,50.561754602441894,,53.37769123946702,,52.2401084953222,,50.045561802857975,,48.31077500988844,,44.86111228779859,,,40.12500035300624
Koen Bucker,29.0,50.55308673122644,,,,47.42165450874168,,58.41872862724347,,50.33737834246201,,54.770592271214156,,47.07760639388994,,43.99314791773074,,,43.864611041985896
Louis Lord,22.0,50.53045260311162,9.728352,Andrea Hoxha,26.0,59.47308786826905,54.632190511818685,45.94922872755285,46.781928732438104,56.912241506052,51.94897888011032,39.956685748179254,42.69658991973789,44.01572959975842,54.98302139277174,43.26059552885838,45.09052388771825,0.9939298032109791,52.106639303216824
Otto Hindrich,23.0,50.530330085889915,26.601976,Fabian de Keijzer,25.0,60.60660171779821,50.10603685143083,39.39339828220178,47.51608865431524,39.39339828220179,40.740750040068384,39.39339828220179,45.85694801697373,60.60660171779821,62.03973063982812,,46.390634748710504,0.9922655583579979,46.045037945299065
Josip Posavec,30.0,50.50700976876606,,,,50.84857397057308,,52.25866000195629,,49.986709845679705,,55.02624689950035,,47.84194834425734,,44.63369483098843,,,33.39010844929653
Zion Suzuki,23.0,50.49937312785942,98.128944,Antonín Kinský,22.0,49.23130953027035,51.88404653057087,51.013864114415284,53.3514087554018,47.878598642717975,47.5857205047183,47.114009546305944,49.69453672187339,57.25535092285529,56.317255831060976,43.65893020571806,44.61048816238198,0.9995808386772074,83.07516778192503
Marco Hiller,29.0,50.44019062562898,,,,49.884507744111446,,48.650522225095784,,55.517909413716666,,50.56556890883531,,50.605732594865295,,44.786880709246056,,,42.76939754610715
Kjell Scherpen,26.0,50.415806305522565,0.1746964,Georgiy Yermakov,23.0,48.80817748849106,48.90315283987026,51.36089679743881,48.29634971938516,49.16055165252787,50.747194502228155,50.45584230583855,48.64026799712225,54.908377558505876,54.65402244572019,41.99662418646545,43.37452432527026,0.9994438424259646,82.58128302481636
Eric Verstappen,31.0,50.403391072438495,,,,56.335383641991974,,45.55979906806415,,57.036112576895796,,35.32175322519876,,49.061841373204786,,49.81711365065734,,,17.61180076186387
Marko Milosevic,35.0,50.39291701620448,,,,50.34440374491423,,50.866783254812155,,48.19861348553877,,48.934577168949666,,53.78632068863129,,44.714507286314785,,,53.41435218589444
Carljohan Eriksson,30.0,50.387978023927545,,,,51.75137299191991,,47.702412089150634,,56.46550754527554,,49.3239591358505,,48.955785167992424,,42.574092590931684,,,39.43889444394617
Yannick Etile,25.0,50.36271966290645,1.2327244,Andrea Hoxha,26.0,60.24648001813267,54.632190511818685,32.33458629739839,46.781928732438104,69.3322178933192,51.94897888011032,37.00961894323342,42.69658991973789,46.10531909832876,54.98302139277174,,45.09052388771825,0.9779969827124448,45.57157067918885
Georgiy Yermakov,23.0,50.31144011583084,55.73753,Marco Bizot,35.0,52.703439582545485,55.260289444014695,51.82654174382935,,51.81885706011705,,54.977916439168105,,43.77865737498001,45.52157336777201,42.17496428741906,40.12203085510723,0.9986683400495464,69.27722612508552
Issam El Maach,26.0,50.303333310058186,0.568204,Filip Stanković,24.0,51.65802104984751,50.92804282893711,45.07539132712278,46.188046326031525,47.28575545983464,46.09742533610196,47.98524741099435,53.52408755729257,58.46038727028093,60.89470403800201,44.147664310971024,44.783897049085944,0.999038843752013,59.20396602162877
Pierre Patron,28.0,50.227169898043414,,,,48.292253330311226,,55.88847123420054,,43.5559273688936,,54.33012701892219,,51.29822696722375,,46.71504902877876,,,18.014514708633627
Marius Müller,32.0,50.19125754700623,,,,54.96650016562846,,48.75071208486599,,46.15366630839575,,38.485741467954725,,54.14577634941608,,47.00771434812894,,,20.76898097110535
Filip Stanković,24.0,50.18245996348455,99.43824,Hans Christian Bernat,25.0,53.49215127249493,52.040407699833295,47.61747318766595,45.34001704045558,48.25778374004689,46.115011965232675,49.51121364127734,47.65636037167391,50.98792190704874,51.025171333703526,44.478932753167236,45.56919851478268,0.9996764358170951,63.32860631241722
Viljar Myhra,29.0,50.065786014271275,,,,50.26101321606026,,52.77844765967913,,51.4636720110795,,52.29251431482882,,46.17810817386064,,44.94737299200882,,,45.48421189760265
Hillel Konaté,31.0,50.06470677200813,,,,47.61400450534038,,48.62986479278624,,50.834923508445,,56.71917368137439,,52.93818151838418,,43.39480527535475,,,29.018441582606425
Max Schmitt,20.0,50.03526364465394,79.97453,Maximilian Weisbäcker,24.0,47.37708957665928,46.842607074229676,62.21870951462874,67.39076021898605,47.37892381373403,50.77472752504936,50.25672868710187,46.82245372648347,45.61529873189847,47.71193366016076,42.45647363160832,42.344985075272,0.9985475092813493,54.65126212924413
Fabian de Keijzer,25.0,50.00763375533037,99.62806,Georgiy Yermakov,23.0,50.312390773042004,48.90315283987026,47.2856606190361,48.29634971938516,48.25068085200222,50.747194502228155,48.65922955082989,48.64026799712225,55.86218242172449,54.65402244572019,43.61645664764658,43.37452432527026,0.9996306074339966,83.0658957472305
Plamen Andreev,21.0,50.0,0.32671666,Pavlo Isenko,22.0,,49.833201910802565,,49.90900482212886,,47.524404914199245,,48.59824951669898,,51.62453686442999,,43.914272751233504,0.999873595558771,46.32753743917376
Peter Vindahl,28.0,49.976813226181235,,,,51.8253757004692,,49.38408584450168,,56.02703706797409,,51.72582963154771,,43.92165992937802,,43.828256758272936,,,53.14847702748188
Kostas Lamprou,34.0,49.97653527685652,,,,44.99182961727851,,54.93129554723185,,52.759452785366975,,55.512107619208756,,49.38181186328166,,43.02472459688671,,,43.57408404573268
Kamil Grabara,27.0,49.972752693105384,,,,52.72328990003509,,47.49499863104494,,50.10105341644481,,46.55074199942572,,51.15470592839938,,45.11185197593393,,,53.533555592780175
Leopold Wahlstedt,26.0,49.971768349170695,8.93813,Fabian de Keijzer,25.0,50.006669669992824,50.10603685143083,55.57386678213896,47.51608865431524,35.801036540359355,40.740750040068384,44.6050070992237,45.85694801697373,58.9890118914333,62.03973063982812,44.53071044964241,46.390634748710504,0.9964332912444067,47.21874962441678
Pelle Boevink,28.0,49.96093620420093,,,,52.17760508861317,,46.19947585954204,,55.575756405798245,,43.76859545114676,,51.00747427414434,,43.060832897905776,,,28.918249869371735
Karol Niemczycki,26.0,49.949983815986805,3.6010318,Georgiy Yermakov,23.0,49.71480625195202,48.90315283987026,47.760019886221436,48.29634971938516,48.369882868235955,50.747194502228155,47.63499031459675,48.64026799712225,56.32450800098165,54.65402244572019,43.99309802531028,43.37452432527026,0.9996307189801092,83.1781780974768
Oliver Christensen,26.0,49.92703542760279,1.0271927,Hidde Jurjus,32.0,52.03176745976193,48.53062899835782,44.035905161564266,47.090276920827684,48.60312457163803,53.46750437751949,66.88395517460151,57.90990420427275,46.962135941528416,46.07347319147256,42.780655316996494,43.20882783813978,0.9961152941727797,61.347402448453366
Antonín Kinský,22.0,49.905575132922124,99.65725,Andrija Katic,24.0,43.88956889118265,45.246200331557006,57.8776697901874,51.7338110413664,60.352357468211906,57.3644801484022,55.89609792197286,49.487108187905434,42.20821821876776,42.67767530386597,41.58126902694448,43.16268065050644,0.9980104832594676,65.01894549591961
Lukas Schneller,24.0,49.89395881384908,0.23399042,Taishi Brandon Nozawa,23.0,49.863683604285306,48.16414606588572,49.63635124549768,48.96902843973658,51.610192440560546,48.98613572643285,51.66277033894334,48.471602523229684,49.597099666565725,48.16491925958806,43.60715300344799,44.35952270254134,0.999680160444783,71.0682755234848
Yannick Pandor,24.0,49.881160328769084,0.12845063,Marco Bizot,35.0,54.741072907278124,55.260289444014695,47.743436501085284,,49.55409414476615,,49.68729921408975,,46.77780917409141,45.52157336777201,43.0549055685283,40.12203085510723,0.9994785790744373,66.88845106871356
Mory Diaw,32.0,49.869295610877174,,,,49.067166861065594,,51.98103155258906,,50.0,,51.21220284469106,,50.0,,42.634379151411714,,,27.456980412090182
Mike Havekotte,30.0,49.865792812887044,,,,52.3023217986373,,45.907259635359964,,53.34725929344834,,45.51385404472403,,51.30230081358696,,43.59419770033621,,,53.07825931010086
Fabian Eutinger,22.0,49.827478941326454,1.0556464,Matous Trmal,27.0,50.58974194193516,47.260051870133246,49.59654965351401,49.682929433036996,43.408812599167014,42.75705793864761,49.72409310573682,50.899266064812615,54.78954667363873,55.028738995062554,45.7921178573325,43.85371094262805,0.9995139087014867,62.38435985756462
Kosei Tani,25.0,49.756612306296084,96.83758,Kamil Grabara,27.0,50.25721731574434,47.95326297186434,50.161749678144986,49.86294260858529,49.688552179502395,47.83935939837255,50.286076883423824,50.42926376959961,50.38131508694558,48.9108513203225,41.77887286573855,43.21550450123318,0.9996617797649092,82.5200381326345
Miso Dubljanic,26.0,49.7456426487247,96.66174,Taishi Brandon Nozawa,23.0,50.0,48.16414606588572,50.0,48.96902843973658,50.0,48.98613572643285,50.0,48.471602523229684,50.0,48.16491925958806,44.912852974493944,44.35952270254134,0.9999581586170873,63.4689882148145
Luca Unbehaun,25.0,49.73881119232215,3.2475016,Jari De Busser,26.0,49.87915545472954,52.08468604486447,47.068422249276914,52.846583284940664,48.87973421122009,51.03032658145914,58.0137869810583,58.927199630940535,50.27474189932537,50.32700647550509,43.4618579278799,44.67479529162929,0.9993371913630569,83.00092131093166
Djordje Nikolic,28.0,49.731722640848346,,,,42.82926977731291,,39.9786031707587,,66.83845463027441,,54.3945652335451,,54.60998177803531,,,,,16.333333333333332
Sten Grytebust,36.0,49.72504731256086,,,,50.0,,50.0,,50.0,,50.0,,50.0,,44.50094625121727,,,53.35028387536518
Mathieu Michel,34.0,49.70357205435842,,,,50.0,,50.0,,50.0,,50.0,,50.0,,44.07144108716831,,,31.888098992817163
Anthony Racioppi,27.0,49.6982245729299,,,,50.0,,50.0,,50.0,,50.0,,50.0,,43.96449145859809,,,53.18934743757943
Bum-keun Song,28.0,49.6919820426659,,,,50.0,,50.0,,50.0,,50.0,,50.0,,43.839640853318045,,,53.15189225599541
Danijel Petkovic,32.0,49.68915902872238,,,,50.0,,50.0,,50.0,,50.0,,50.0,,43.783180574447556,,,53.13495417233427
Kjell Peersman,21.0,49.68825643186373,0.255939,Nacho Miras,28.0,50.86187921555578,48.7938091651079,51.820776096137415,47.71209134733794,50.45842790725394,49.31243331379464,48.59804405652778,47.810417360875455,47.087518741967415,43.66765289912867,44.38930215670309,43.72231283715715,0.9996296683692146,83.3006683179281
Pavlo Isenko,22.0,49.674173249493954,65.393005,Taishi Brandon Nozawa,23.0,50.00000000000001,48.16414606588572,50.0,48.96902843973658,50.0,48.98613572643285,50.0,48.471602523229684,50.0,48.16491925958806,43.483464989879074,44.35952270254134,0.9998315911339606,65.70431364918328
Gasper Tratnik,26.0,49.65137226508937,89.34782,Taishi Brandon Nozawa,23.0,48.23223304703363,48.16414606588572,51.76776695296637,48.96902843973658,51.76776695296637,48.98613572643285,51.76776695296637,48.471602523229684,48.23223304703363,48.16491925958806,44.79521225475383,44.35952270254134,0.9996148172075415,51.423387038980295
Warner Hahn,33.0,49.6449617285119,,,,51.161623300528255,,48.877023881570395,,49.36554700361996,,51.251088850380675,,49.01401052905901,,43.76653841292972,,,37.12996152387892
Ignacio de Arruabarrena,29.0,49.6351856864499,,,,50.0,,50.0,,50.0,,50.0,,50.0,,42.70371372899801,,,42.144447452032736
Marko Johansson,27.0,49.63058232700665,,,,58.94227537767943,,42.38089638018491,,48.757871906847136,,42.14093353770553,,48.78592074422369,,43.73524298046955,,,21.120572894140864
Simon Sluga,32.0,49.625,,,,50.0,,,,50.0,,,,50.0,,42.5,,,15.416666666666668
Markus Ponath,25.0,49.62085499558416,95.02512,Andrija Katic,24.0,46.98996313389221,45.246200331557006,49.2113173808291,51.7338110413664,62.053016218197016,57.3644801484022,50.44065802529692,49.487108187905434,45.575309503594966,42.67767530386597,44.290448865448894,43.16268065050644,0.9990544734514532,53.88644311320735
Liam Bossin,29.0,49.59561396661243,,,,50.01739645377158,,50.03954004675204,,48.80523817918428,,50.42653334344375,,50.0,,44.38095919817077,,,45.31428775945123
Guillermo Ochoa,40.0,49.523946551665226,,,,49.733422320697755,,49.56197530324129,,50.1135508509085,,50.537852874200475,,49.67161720580599,,43.72766877180241,,,39.78496729820739
Nahuel Noll,22.0,49.52304802251096,99.66876,Patrick Drewes,33.0,51.5920152408203,56.194363581176795,45.409912337772646,49.24218205633876,48.20837169922371,54.797733736052706,52.974849939132284,53.51661865971393,51.20643435218586,55.07915620368409,43.86866726952779,44.399117691134336,0.9991412014104458,68.46457811923167
